GEOID,State,State Code,Subdiv,County Code,County Name,Shale County? [Y=YES],SHALE,REMARKS 
05001,AR,05,,001,ARKANSAS,Y,FAYETTEVILLE,East Fayetteville Shale
05023,AR,05,,023,CLEBURNE,Y,FAYETTEVILLE,Central Fayetteville Shale
05029,AR,05,,029,CONWAY,Y,FAYETTEVILLE,Central Fayetteville Shale
05033,AR,05,,033,CRAWFORD,Y,FAYETTEVILLE,West Fayetteville Shale
05037,AR,05,,037,CROSS,Y,FAYETTEVILLE,East Fayetteville Shale
05045,AR,05,,045,FAULKNER,Y,FAYETTEVILLE,Central Fayetteville Shale
05047,AR,05,,047,FRANKLIN,Y,FAYETTEVILLE,West Fayetteville Shale
05063,AR,05,,063,INDEPENDENCE,Y,FAYETTEVILLE,Central Fayetteville Shale
05067,AR,05,,067,JACKSON,Y,FAYETTEVILLE,East Fayetteville Shale
05071,AR,05,,071,JOHNSON,Y,FAYETTEVILLE,West Fayetteville Shale
05077,AR,05,,077,LEE,Y,FAYETTEVILLE,East Fayetteville Shale
05083,AR,05,,083,LOGAN,Y,FAYETTEVILLE,West Fayetteville Shale
05085,AR,05,,085,LONOKE,Y,FAYETTEVILLE,East Fayetteville Shale
05087,AR,05,,087,MADISON,Y,FAYETTEVILLE,West Fayetteville Shale
05095,AR,05,,095,MONROE,Y,FAYETTEVILLE,East Fayetteville Shale
05097,AR,05,,097,NEWTON,Y,FAYETTEVILLE,West Fayetteville Shale
05107,AR,05,,107,PHILLIPS,Y,FAYETTEVILLE,East Fayetteville Shale
05115,AR,05,,115,POPE,Y,FAYETTEVILLE,West Fayetteville Shale
05117,AR,05,,117,PRAIRIE,Y,FAYETTEVILLE,East Fayetteville Shale
05119,AR,05,,119,PULASKI,Y,FAYETTEVILLE,East Fayetteville Shale
05127,AR,05,,127,SCOTT,Y,FAYETTEVILLE,West Fayetteville Shale
05129,AR,05,,129,SEARCY,Y,FAYETTEVILLE,Central Fayetteville Shale
05131,AR,05,,131,SEBASTIAN,Y,FAYETTEVILLE,West Fayetteville Shale
05123,AR,05,,123,ST FRANCIS,Y,FAYETTEVILLE,East Fayetteville Shale
05137,AR,05,,137,STONE,Y,FAYETTEVILLE,Central Fayetteville Shale
05141,AR,05,,141,VAN BUREN,Y,FAYETTEVILLE,Central Fayetteville Shale
05143,AR,05,,143,WASHINGTON,Y,FAYETTEVILLE,West Fayetteville Shale
05145,AR,05,,145,WHITE,Y,FAYETTEVILLE,Central Fayetteville Shale
05147,AR,05,,147,WOODRUFF,Y,FAYETTEVILLE,East Fayetteville Shale
05149,AR,05,,149,YELL,Y,FAYETTEVILLE,West Fayetteville Shale
08001,CO,08,,001,ADAMS,Y,NIOBRARA,Denver Basin Niobrara
08005,CO,08,,005,ARAPAHOE,Y,NIOBRARA,Denver Basin Niobrara
08013,CO,08,,013,BOULDER,Y,NIOBRARA,Denver Basin Niobrara
08014,CO,08,,014,BROOMFIELD,Y,NIOBRARA,Denver Basin Niobrara
08025,CO,08,,025,CROWLEY,Y,NIOBRARA,Denver Basin Niobrara
08035,CO,08,,035,DOUGLAS,Y,NIOBRARA,Denver Basin Niobrara
08041,CO,08,,041,EL PASO,Y,NIOBRARA,Denver Basin Niobrara
08039,CO,08,,039,ELBERT,Y,NIOBRARA,Denver Basin Niobrara
08043,CO,08,,043,FREMONT,Y,NIOBRARA,Denver Basin Niobrara
08059,CO,08,,059,JEFFERSON,Y,NIOBRARA,Denver Basin Niobrara
08069,CO,08,,069,LARIMER,Y,NIOBRARA,Denver Basin Niobrara
08073,CO,08,,073,LINCOLN,Y,NIOBRARA,Denver Basin Niobrara
08075,CO,08,,075,LOGAN,Y,NIOBRARA,Denver Basin Niobrara
08087,CO,08,,087,MORGAN,Y,NIOBRARA,Denver Basin Niobrara
08089,CO,08,,089,OTERO,Y,NIOBRARA,Denver Basin Niobrara
08101,CO,08,,101,PUEBLO,Y,NIOBRARA,Denver Basin Niobrara
08121,CO,08,,121,WASHINGTON,Y,NIOBRARA,Denver Basin Niobrara
08123,CO,08,,123,WELD,Y,NIOBRARA,Denver Basin Niobrara
18061,IN,18,,061,HARRISON,Y,NEW ALBANY,minor shale play
18083,IN,18,,083,KNOX,Y,NEW ALBANY,minor shale play
22013,LA,22,N,013,BIENVILLE,Y,HAYNESVILLE,
22015,LA,22,N,015,BOSSIER,Y,HAYNESVILLE,
22017,LA,22,N,017,CADDO,Y,HAYNESVILLE,
22031,LA,22,N,031,DE SOTO,Y,HAYNESVILLE,
22069,LA,22,N,069,NATCHITOCHES,Y,HAYNESVILLE,
22081,LA,22,N,081,RED RIVER,Y,HAYNESVILLE,
22085,LA,22,N,085,SABINE,Y,HAYNESVILLE,
22119,LA,22,N,119,WEBSTER,Y,HAYNESVILLE,
26001,MI,26,,001,ALCONA,Y,ANTRIM,
26007,MI,26,,007,ALPENA,Y,ANTRIM,
26009,MI,26,,009,ANTRIM,Y,ANTRIM,
26019,MI,26,,019,BENZIE,Y,ANTRIM,
26029,MI,26,,029,CHARLEVOIX,Y,ANTRIM,
26039,MI,26,,039,CRAWFORD,Y,ANTRIM,
26045,MI,26,,045,EATON,Y,ANTRIM,
26055,MI,26,,055,GRAND TRAVERSE,Y,ANTRIM,
26057,MI,26,,057,GRATIOT,Y,ANTRIM,
