year,pce_annual_index,cum_pce
1990,59.775,0.59775
1991,61.774,0.61774
1992,63.420,0.6342
1993,65.000,0.65
1994,66.356,0.66356
1995,67.754,0.67754
1996,69.203,0.69203
1997,70.407,0.70407
1998,70.967,0.70967
1999,72.001,0.72001
2000,73.822,0.73822
2001,75.302,0.75302
2002,76.291,0.76291
2003,77.894,0.77894
2004,79.827,0.79827
2005,82.127,0.82127
2006,84.440,0.8444
2007,86.607,0.86607
2008,89.170,0.8917
2009,88.921,0.88921
2010,90.514,0.90514
2011,92.804,0.92804
2012,94.534,0.94534
2013,95.781,0.95781
2014,97.121,0.97121
2015,97.299,0.97299
2016,98.284,0.98284
2017,100.000,1
2018,102.047,1.02047
2019,103.509,1.03509
2020,104.641,1.04641
2021,108.972,1.08972
2022,116.111,1.16111
2023,120.491,1.20491
